id,claim,value,unit,type,confidence,source,source_date,note
FX-02,"استلام 100% من عائدات تصدير الخدمات بالعملة الصعبة",100,percent,official_regulation,high,"ANAE (تعليمة بنك الجزائر 06-2021) + Algerie360/Econostrum",2024-04-01,"السحب الفعلي للنقد يخضع لتدبير بنك الجزائر"
REP-01,"أجل الترحيل تحت المرجَع القديم",306,days,official_regulation,medium,"نظام 16-04/07-01 م61 عبر وزارة التجارة (عقيدة المستودع)",2026-08-21,"مرجع قائم حتى الآن في العقيدة"
REP-02,"أجل الترحيل المنسوب للنظام 26-02 (نصّ أحدث)",120,days,contradiction,medium,"خمسة مصادر صحفية تنقل النظام 26-02 (JO n°58, 12/08/2026)",2026-08-15,"⚠️ لم يُقرأ النص الأولي — سؤال مفتوح في العقيدة؛ يُصمَّم على الأشد"
REP-03,"سقف أجل الائتمان الممنوح للمشتري غير المقيم",180,days,contradiction,medium,"نفس المصادر الخمسة",2026-08-15,"يُشترط النصّ عليه صراحةً في العقد — وما فوقه يحتاج تأميناً مسبقاً"
TERM-01,"آجال الدفع التي تنجو بهامش ≥30 يوماً تحت المرجعين","0/15/30/45/60/90",days,computed,high,"مشتق: FXR_MEASUREMENTS.json › results.contract_terms",2026-09-12,"Net-120 = هامش صفري؛ فوق 180 ممنوع"
FEE-01,"Payoneer: كلفة السحب بتحويل عملة",1.2-4,percent,provider,medium_high,"SALES-INTEL-01 (INT-04) + Wise Blog + Payoneer FAQ",2026-09-19,"الهامش مخفيّ داخل سعر الصرف لا في رسوم معلنة"
FEE-02,"Payoneer: رسم سنوي تحت العتبة",29.95,USD/year,provider,medium,"SALES-INTEL-01 (INT-04)",2026-09-19,"يُضاف إلى كلفة السحب"
FEE-03,"كلفة قناة الدفع السنوية على سقف ANAE",389-1297,EUR/year,computed,high,"مشتق: 32,427.5 × (1.2% / 4%)",2026-09-21,"يعادل 15–50 ضعف الضريبة المباشرة على نفس السقف"
FEE-04,"Deel: كلفة المقاول",0,USD,provider,medium_high,"Deel + SALES-INTEL-01 (INT-06)",2026-09-19,"49 $/شهر على صاحب العمل — أفضل قناة لعقد مؤسسي"
FEE-05,"Upwork: كلفة السحب إلى Payoneer",2,USD/withdrawal,community,medium,"web6.tn (دليل 2026) + مصادر مستخدمين",2026-03-04,"قبلها 10–20% عمولة منصّة"
FEE-06,"Fiverr: كلفة السحب إلى Payoneer",2,percent,community,medium,"web6.tn (دليل 2026)",2026-03-04,"حد أدنى 1 $"
PLAT-01,"Outlier يدفع PayPal/AirTM/ACH",paypal_only,status,community,medium_high,"مراجعة طرق الدفع 2026 (r/digitalnomad) + earnbeyondborders",2026-01-27,"❌ غير قابل للتحصيل من الجزائر ⇒ منصّة مسدودة"
PLAT-02,"DataAnnotation لا يفتح للجزائر ويدفع PayPal فقط",closed,status,community,medium,"earnbeyondborders (2026)",2026-05-08,"❌ مستبعدة بنيوياً"
PLAT-03,"CrowdGen يدفع عبر Payoneer وتحويل بنكي محلي",payoneer_ok,status,provider,medium_high,"CrowdGen/Appen + مراجعة موثّقة (remowork)",2026-07-30,"✅ قابلة للاستعمال — الدفع شهري حول 14–15 من الشهر التالي"
PLAT-04,"الأجر المقيس فعلياً في CrowdGen",2.2,USD/hour,community,medium,"remowork.life — حساب موثَّق بالمدفوعات",2026-07-30,"مقابل «10–25 $/ساعة» المعلنة ⇒ قاعدة: اقِس لا تصدّق"
PLAT-05,"Toloka/Mindrift يدفعان عبر Payoneer أو Tipalti",payoneer_ok,status,provider,medium_high,"toloka.ai (صفحة الدفع)",2026-09-21,"دفعتان شهرياً بعد قبول المهام"
PLAT-06,"Welocalize يدفع عبر Hyperwallet",hyperwallet,status,provider,medium,"مراجعة طرق الدفع 2026",2026-01-27,"⚠️ يحتاج تحقّقاً لحالة الجزائر"
MARKET-01,"سعر الترجمة عربي→فرنسي (مترجم محترف)",0.14-0.22,USD/word,press,medium_high,"Jobbers (قاعدة أسعار 2026) + c-traduction",2026-07-05,"مرجع السوق العالمي"
MARKET-02,"سعر الترجمة داخل السوق الجزائري",300-1200,DZD/page,press,medium,"بارومتر Onyxlab للأسعار الجزائرية 2026",2026-01-01,"الفارق مع السوق العالمي 3–10× على المهارة نفسها"
MARKET-03,"سقف أجر مراجع AI فرنكوفوني معلن",16-17,EUR/hour,press,medium,"إعلانات Milengo (عبر مسح سابق للمستودع)",2026-01-01,"الأجر المعلن ≠ المقبوض — قِس"
MARKET-04,"أجر معلن لتقييم سلامة AI بالفرنسية",48-52,USD/hour,press,medium,"إعلان AuraOne (عبر مسح سابق)",2026-01-01,"يتطلّب ملفاً تقنياً قوياً"
MARKET-05,"سقف مرجعي لدعم العملاء الفرنكوفوني (المغرب)",4000-6500,MAD/month,press,medium,"jobsquare.ma (دلائل 2026)",2026-06-28,"≈ 370–600 € — سقف تنافسي لأي عرض جزائري"
MARKET-06,"عدد المنصات المعتمدة الفرنسية (PA)",150,platforms,official_regulation,medium_high,"ملفا DGFiP الرسميان عبر منصّات متخصّصة (03–07/09/2026)",2026-09-07,"+16 مرشّحة — كل صف يحمل بريد اتصال عام"
TARGET-01,"إشارة شراء فعلية: مهمة ADV لتنفيذ الفوترة الإلكترونية",15.38,EUR/hour,press,medium_high,"إعلان GI Life Sciences (Toulouse) عبر Jobintree — عقد 4 أشهر",2026-06-20,"«mise en conformité des données clients» حرفياً"
OPEN-01,"هل يُعفى المقاول الذاتي المصدّر من IFU؟",unknown,status,open,low,"لم يُعثر على نص أولي",2026-09-21,"⛔ يُحسم بسؤال مكتوب للضرائب — يمنع بناء خطة عليه"
OPEN-02,"هل يقبل Payoneer سحباً إلى بنك جزائري باسم كيان ANAE؟",unknown,status,open,low,"تناقض بين مصادر المورّد وشهادات المستخدمين",2026-09-21,"⛔ يُحسم بمحاولة سحب أولى موثَّقة"
OPEN-03,"Paysera: حيّة أم متوقفة؟ (تناقض داخلي في المستودع)",contradiction,status,contradiction,low,"عقيدة الصرف (2026-08-21) ضد SALES-INTEL-01 (2026-09-19)",2026-09-19,"⛔ لا يُبنى عليها حتى الفتح الفعلي"
