id,seller,offer,form,price_or_contract,evidence_type,source_url,access_date,independence,proves,does_not_prove
S14,Upwork freelancers,Focused annotation projects: image $500-$1K; text-span $1K-$2K; audio $2K-$4K,engagement,$500-$4000-project published bands + seller profiles with $100K+ earnings,marketplace page + seller histories,https://www.upwork.com/hire/data-annotation-specialists/,2026-09-18,marketplace-primary,project bands sold; sellers with verified earnings,that WE can replicate (no seller history)
S15,Upwork 2026 data,Senior AI-ML freelance work,rate,$100-$300-hr senior (avg ~$39 all-skills),platform data via reference,https://ciela.ai/blogs/freelance-ai-automation-rates-2026,2026-09-18,secondary citing platform,senior AI freelance band,individual outcomes
S16,Outlier-Scale AI-training platforms,Expert RLHF: PhD-legal-medical $50-$100 advertised (effective $22-$60 expert),rate,$50-$100 advertised; $22-$60 effective expert,rate tracker updated daily + 2026 reviews,https://aitraining.jobs/roles/data-labeling,2026-09-18,aggregator-secondary,expert annotation pay bands,Algeria eligibility or acceptance odds
S17,HackerOne,Bug bounty platform payouts,reward,$81M paid-12mo (+13pct YoY); avg $42K-program-yr; AI-scope programs +270pct,annual report + press,https://www.bleepingcomputer.com/news/security/hackerone-paid-81-million-in-bug-bounties-over-the-past-year/,2026-09-18,platform-primary + press-secondary,verified paid bounties at scale; AI scope growth,individual expected earnings (skewed)
S18,Immunefi via reference,Smart-contract bounties,reward,median ~$2000; mean ~$52800; Q1-2026 payouts $7.87M,ecosystem update via reference,https://sqmagazine.co.uk/smart-contract-bug-bounties-statistics/,2026-09-18,secondary citing platform,paid security bounties; skewed distribution,individual expected earnings
S19,Budget Security,5-day web app pentest $985-day ($4925) + report + retest 7-day delivery (EU EUR 849-day),engagement/report,$4925 fixed published,published pricing calculator,https://budgetsecurity.com/pentest-pricing/,2026-09-18,seller-primary,fixed-price pentest sold; delivery time,client count or report quality
S20,DeepStrike-TechMagic-Torchlight,Pentest market bands 2026,engagement/report,"web $5K-$30K; API $6K-$30K; network $5K-$40K; SMB $8K-$20K",3 agreeing market references,https://deepstrike.io/blog/penetration-testing-cost,2026-09-18,secondary x3 (independent),convergent pentest price bands,any single verified transaction
S21,Workstreet-Vanta-Drata-Secureframe,SOC 2 audit + compliance platforms,audit/subscription,"Type II fixed $7K-$20K; platforms $7.5K-$30K-yr; first year $25K-$50K all-in",pricing references 2026,https://patotski.com/blog/soc-2-cost-for-startup-saas/,2026-09-18,secondary x3 (independent),convergent SOC 2 cost bands,that WE can deliver (needs licensed auditor)
S22,TheWordPoint,EN-FR translation from $0.05-word; certified from $19.99-page,service/word,$0.05+-word; $19.99+-page published,published pricing page,https://thewordpoint.com/languages/french-translation-services,2026-09-18,seller-primary,general translation sold per-word,quality or suitability for us (D-273 L2)
S23,GTS Translation,EN-FR $0.14-word (FR-EN $0.12-$0.13) + certificate + four-eye review,service/word,$0.12-$0.14-word published rate card,published rate card,https://www.gts-translation.com/languages/french-translation-services/,2026-09-18,seller-primary,professional FR translation band,that general translation fits us (D-273 L2)
S24,Braintrust,LLM eval platform Pro $249-mo (unlimited traces 50K scores),subscription,$249-mo confirmed,published pricing via 2 references,https://aisuperior.com/cost-of-private-llm-evaluation-services/,2026-09-18,secondary x2,entry eval-platform price point,client count or renewals
S25,Langfuse-LangSmith,Eval-observability subscriptions,subscription,Langfuse Core $29-mo; LangSmith $39-seat-mo,published pricing via comparison,https://futureagi.com/blog/evaluation-platform-questions-2025/,2026-09-18,secondary,low-end subscription anchors,client count or renewals
S26,AI Act Gap,Free gap checker + PDF (30+ assessments) - demand signal NOT a sale,lead-gen,$0 (30+ assessments counter),published counter + SaaSHub listing,https://www.aiactgap.com/,2026-09-18,seller-primary,demand signal for gap reports; free funnel works,any paid transaction
