id,seller,offer,form,price_or_contract,evidence_type,source_url,access_date,independence,proves,does_not_prove
S101,FixThePhoto + PVE guide,RE editing ladder + general outsourcing bands,fact,color $0.25-img; RE $1.50-img; product $2.50; manipulation $6+; general outsourcing $3-$35-img by complexity,published rates + guide,https://fixthephoto.com/outsource-retouching-services,2026-09-19,vendor-secondary,$0.25-$35-img full ladder by complexity tier,turnaround-kept rate at rush
S102,MedicalBillersAndCoders 2026 guide,Med billing pct-of-collections standard,fact,4-10pct monthly collections; industry avg 5.5-7pct; $3M facility pays $120K-$300K-yr; high-acuity at top end,pricing guide,https://www.medicalbillersandcoders.com/blog/how-much-medical-billing-services-cost-2026/,2026-09-19,secondary,pct-of-money model 4-10pct avg ~6pct + specialty gradient,denial-rate improvement proof
S103,EMR Guides market data,Med billing per-claim + monthly + hybrid models,fact,per-claim $2-$12; monthly $200-$1K per provider; hybrid = small fee + 2-4pct; startup fees ~$1297 + $999-mo minimum,market data page,https://emrguides.com/medical-billing-service-cost/,2026-09-19,secondary,three-model menu + hybrid as 2026 multi-site preference,HIPAA-remote-DZ feasibility
S104,SquareOps FinOps ranking 2026,FinOps consulting rates + retainer bands,fact,$200-$350-hr senior; $15K-$40K-mo embedded retainer; projects $25K+; tool-vs-managed decision matrix,vendor ranking,https://squareops.com/knowledge/top-finops-cloud-cost-optimization-companies-2026/,2026-09-19,vendor-secondary,$200-$350-hr + $15K-$40K-mo consulting bands,realized savings attribution
S105,Techloy + Holori tool lists,FinOps SaaS ladder + free-scan funnels,fact,enterprise SaaS $30K-$200K+-yr; Ternary $25K+-yr; Cloudability $30K-$132K by spend; free scan + $200-mo entry tiers,tool rankings x2,https://www.techloy.com/the-top-5-finops-services-for-cloud-cost-optimization-in-2026/,2026-09-19,secondary x2,$25K-$200K-yr SaaS ladder + free-scan acquisition funnel,service attach rate on tools
S106,Excelohunt 2026 agency pricing,Klaviyo agency retainer tiers,fact,entry $1.5K-$3K-mo; mid $3K-$5K-mo; premium $5K-$10K+-mo; projects $1.5K-$8K separate; ~$2.5K-$5K mid-market sweet spot,pricing guide,https://www.excelohunt.com/blog/klaviyo-agency-pricing/,2026-09-19,secondary,$1.5K-$10K-mo tier ladder by revenue stage,creative-production cost inside retainer
S107,MarketerHire 2026 agency shortlist,Flow-build projects + fractional vs in-house,fact,one-time flow build $5K-$15K (7 flows); fractional $4K-$10K-mo; in-house $90K-$140K base; agency $3K-$25K-mo,marketplace guide,https://marketerhire.com/blog/best-klaviyo-email-marketing-agencies,2026-09-19,marketplace-secondary,$5K-$15K fixed flow-build wedge + fractional band,deliverability accountability
S108,StealthAgents 14-source 2026 guide,Copywriting per-word ladder by seniority,fact,$0.08-$0.25 general; $0.25-$0.60 senior; $0.60-$1.50 specialist; $1.50-$4 direct response; agency 2-4x freelance,rate survey synthesis,https://stealthagents.com/research/cost-of-hiring-a-copywriter-2026,2026-09-19,survey-synthesis,$0.08-$4-word 50x ladder general-to-direct-response,AI compression of the general band
S109,Blockerry + AccelerateDigitally 2026,Copy project menu + niche premiums,fact,landing $800-$5K; website $3.5K-$20K; email seq $600-$5K; white paper $1.5K-$10K; SaaS-finance 2-3x local-business rates,rate guides x2,https://www.blockerry.com/blog-copywriter-rates,2026-09-19,secondary x2,outcome-priced project menu $800-$20K + niche multiplier,conversion proof per project
S110,MyOutDesk 2026 cost guide,VA hourly bands by role + managed FT anchor,fact,$9-$80-hr overall; offshore dedicated FT $1500-$3K-mo (~$12-hr); exec $30-$80-hr $3K-$6K-mo; in-house loaded $6088-mo,vendor guide,https://www.myoutdesk.com/blog/virtual-assistant-cost/,2026-09-19,vendor-secondary,$1500-$3K-mo managed-FT anchor vs $6088 in-house loaded,retention + supervision cost
S111,SideStackers + DRA pricing guides,VA retainer tiers + geo arbitrage + markups,fact,retainers $300-$6K-mo by tier; PH $4-$12-hr; EE $8-$20; US $20-$50; agency markup 30-50pct; hidden fees +15-30pct,pricing guides x2,https://www.sidestackers.com/blog/virtual-assistant-rates,2026-09-19,secondary x2,geo arbitrage $4-$50-hr + 30-50pct managed markup as the sellable spread,platform-fee leakage (Upwork 10pct both sides)
