id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
S11,الصادرات خارج المحروقات: 4.3 مليار دولار في يناير–سبتمبر 2025 (+26% على أساس سنوي)؛ ~5 مليارات لكامل 2025 مقابل 7 مليارات في 2024؛ 1800 مصدّر غير نفطي؛ أهداف رسمية 10–15 مليار (2025–2026) و≈30 مليار في 2030,ObservAlgérie (كلام وزير أمام لجنة) / Maghreb Emergent,https://observalgerie.com/2026-01-09/economie/algerie-forte-progression-des-exportations-hors-hydrocarbures-en-2025,2026-01-09,مُسند ثانوياً لكلام رسمي,الرقمان (4.3 لعشرة أشهر مقابل 5 للسنة) غير متوافقين في النطاق,أي ادعاء بحصة تصدير جزائرية قائمة
S12,CBAM: النظام النهائي من 2026-01-01؛ سعر الشهادة للربع الأول 2026 = 75.36 €/t (والثاني 75.28 €)؛ عامل الاستحقاق 2.5% في 2026 يرتفع تدريجاً إلى 100% في 2034؛ إعفاء 50 طناً/سنة/مستورد (لا يشمل الهيدروجين والكهرباء)؛ يُخصم السعر الكربوني المحلي المُتحقَّق؛ بيع الشهادات من 2027-02-01 والإقرار الأول 2027-09-30,Fastmarkets / HOPE&CO / oneclicklca / DEHSt,https://www.fastmarkets.com/insights/european-commission-publishes-first-cbam-certificate-price/,2026 (متعدد),مُسند ثانوياً عن نص الاتحاد,منظمات استشارية متعددة — قد ترجع إلى نفس النص؛ النص الأصلي هو المرجع,كل «علاوة كربون» في الحسابات
S13,السعة الأوروبية لمراكز البيانات ≈12.7 جيجاواط IT اليوم (9.9 داخل الاتحاد)؛ توقعات المفوضية 12→28 جيجاواط بين 2025 و2030؛ مشروع «قانون السحابة والذكاء الاصطناعي» يهدف لتثليث السعة في 5–7 سنوات,ENTSO-E عبر ملخص GRIDforward,https://gridforward.substack.com/p/the-entso-e-report-that-should-be,2026-05-15,مُسند ثانوياً,ملخص واحد؛ لا يُحسب مستقلاً مع S15/S16,أي ادعاء «نافذة زمنية» للتوسع
S14,مشروع القانون الأوروبي للسحابة والذكاء الاصطناعي: 4 مستويات سيادة؛ المستوى 1 يطلب بنية ومقيلاً داخل الاتحاد (≈70% من عقود القطاع العام)، 20% مستوى 2، <10% مستوى 3، ≈1% مستوى 4؛ استثناء «الأطراف الثالثة المرتبطة» يشترط ملاءمة GDPR,المفوضية الأوروبية / Lawfare,https://digital-strategy.ec.europa.eu/en/policies/cloud-and-ai-development-act,2026-06,مُسند رسمي — مقترح قانون غير نافذ بعد,—,كل افتراض بأن «مشترين حكوميين أوروبيين» سوق متاح
S15,قوائم انتظار الربط الكهربائي لمراكز البيانات في الاتحاد 2–10 سنوات، بمتوسط 7–10 في FLAP-D (حتى 13 في أسواق مكتظة)؛ تجميد دنماركي مؤقت مارس 2026 (60 جيجاواط طلب مقابل 7 جيجاواط ذروة)؛ صفر سعة TenneT لحمولات جديدة كبرى؛ خيار BYOG يقدّم التشغيل 3–5 سنوات,ENTSO-E/EUDCA/IEA عبر ملخصات,https://optinest.de/ai-infrastructure/datacenters/connection-queues/grid-connection-queue-length-europe,2026-08-21,مُسند ثانوياً — مصادر مترابطة مع S13/S16,ثلاث صفحات تلخّص التقارير ذاتها,التفريق بين «طاقة متاحة» و«قدرة شبكية»
S16,63% من سعة مراكز البيانات الأوروبية الجديدة تُبنى خارج الأسواق الخمس الكبرى؛ الشغور في الأسواق الثانوية قد يبلغ 19% نهاية 2026 مقابل 6.4% في FLAP-D؛ الإيجارات الذاتية التشغيل تتركز في إيرلندا/هولندا/السويد/بلجيكا,Europe Says (نقلاً عن أبحاث سوق),https://www.europesays.com/europe/119345/,2026-08-19,مُسند ثانوياً,مُجمِّع أخبار عقارية,كل تسعير «نقص سعة» في نموذج الإيرادات
S17,حجم «سوق بيانات التدريب/الوسم» يختلف بالحدود: 3.07 مليار دولار (أدوات الوسم 2026)؛ 7.48 مليار (بيانات تدريب 2026)؛ 3.8→21.4 مليار في 2034؛ 8.93 مليار (وسم وترقيم 2030)؛ أسعار الوحدات 0.5–5.0 $/عنصر، و50–200 $/حالة تصوير طبي,Business Research Insights / MarketIntelo / IMARC / Nature Asia (متنوع),https://www.imarcgroup.com/data-annotation-tools-market,2026 (متعدد),مُسند ثانوياً — جودة متفاوتة,مصادر توقعات تجارية؛ لا تُجمع كـ«إجماع»,كل TAM مُستعمَل كحجة شراء
S18,خط ORVAL/ALVAL حيز الخدمة (2019-12/2021-01) بطاقة اسمية حتى 40 تيرابت؛ Algeria Telecom Europe في فالنسيا؛ 5 كابلات بحرية قائمة و10.2 تيرابت مركّبة مقابل 5.39 تيرابت مستعملة؛ Africa-1 وMedusa يدخلان الخدمة 2026؛ إطلاق 5G,ecofinagency / APS عبر SubTel Forum,https://www.ecofinagency.com/news-digital/1712-51469-algeria-announces-new-undersea-cable-link-to-meet-soaring-data-demand,2025-12-17,مُسند ثانوياً,بيانات الوزارة والوكالة الواحدة,قياس الزمن لا السعة: زمن الانتقال ≠ عرض النطاق
S19,إلزاميات النماذج.generic-AI (GPAI) سارية منذ 2025-08-02، ومعظم أحكام قانون الذكاء الاصطناعي الأوروبي — بما فيها الأنظمة عالية الخطورة — مطبقة منذ 2026-08-02,Lyceum (ملخّص تنظيمي),https://lyceum.technology/magazine/eu-data-residency-ai-infrastructure/,2026-08-03,مُسند ثانوياً عن نص الاتحاد,—,أي «نافذة طلب منظم» تُبنى عليها H32
S20,تاريخ الهيليوم الجزائري: مشروع Helios بأرزيو (Air Liquide/Air Products) وHelison بسكيكدا (Linde 51%/سوناطراك 49%) بطاقة ≈600 مليون قدم³/سنة، تشغيل منتصف 2005 — ولا يوجد مصدر 2025–2026 يثبت التشغيل أو الطاقة أو الملكية الحالية,MEED / Usine Nouvelle / Albawaba,https://www.meed.com/sonatrachlinde-form-helium-venture/,2003 (أرشيف),تاريخي فقط — الحالي مجهول,ثلاثة أرشيفات صحافية قديمة,H17 لا تُفتَح قبل T14
S21,خط الغاز العابر للصحراء: بدأ قطاع الجزائر (1210 كم من أوفلي) في 2026-06-05، والنيجر لم يبدأ (مقرر 2027)، ولا غاز نيجيرياً يسع ممرّاً واحداً؛ «الجزائر لا تملك 30 مليار م³ غير مرتبطة»؛ طاقة TransMed ≈33.5 وميدغاز ≈10 مليار م³,EnterpriseAM / Bloomberg / commonspace,https://enterpriseam.com/menaplus/2026-07-29/there-isnt-enough-nigerian-gas-for-one-europe-bound-pipeline-but-algeria-and-morocco-want-to-build-two-links-anyways/,2026-07-29,مُسند ثانوياً,Bloomberg + محلل فردي (Natalia Katona) — شبه مستقل,أي «ترانزيت» كإيراد تصدير
S22,قرن 20-254 لشارة «مؤسسة ناشئة»: نشاط ≤8 سنوات، ≤250 موظفاً، طابع مبتكر، ≥50% من رأس المال لأشخاص طبيعيين/صناديق معتمدة؛ امتيازات ضريبية — بلا حد أدنى لرأس مال ولا شرط تصدير,Décret exécutif 20-254 (عبر Upgrowth + ASJP),https://www.upgrowth.dz/en/startup-label-algeria-how-to,2026-07-31,النص الأصلي لم يُطالع,موقع تجاري + ورقة أكاديمية,أي «شارة ناشئة» تُذكر كميزة تنافسية
S23,غارة جبيلات: تشغيل منجم الحديد مطلع 2026 (أوامر رئاسية نونبر 2025)، خط سكة تندوف–بشار 950 كم، وحدة أولى 2 مليون طن مركّز/سنة ≈1 مليون طن حديد (Tosyali/Feeral) وتوسّع إلى 10 ملايين طن بحلول 2032؛ فوسفات بلدة الحدبة يستهدف 12 مليون طن أسمدة وعائدات مقدرة 2 مليار $,Zawya / Algeria Invest / الإذاعة الوطنية,https://www.zawya.com/en/projects/mining/algeria-launches-test-run-on-950-km-bechar-tindouf-gara-djebilet-railway-afjrq6ol,2026-01-07,مُسند ثانوياً عن وكالات رسمية,الأرقام من تصريحات رسمية؛ لا تقرير إنتاج مُدقّق,H14/H15: «مركّز» ≠ «حديد منخفض الكربون قابل للبيع بعلاوة»
S24,"مسودة تعاون Sonatrach–Cepsa (2024-10) لدراسة جدوى هيدروجين أخضر وميثانول/أمونيا؛ لا قرار استثماري نهائي منشور حتى 2026؛ واستراتيجية الجزائر للهيدروجين تقدر إنتاج ≈30,700 طن فقط في 2030",Zawya / Climate Home News,https://www.climatechangenews.com/2025-01-31/eu-backs-north-africa-hydrogen-pipeline-but-is-it-a-green-dream/,2025-01/2026,مُسند ثانوياً,مقال تحليلي واحد حول أرقام رسمية,كل «ممر جاهز يفتح سوقاً»
S25,قانون المالية 2026: سعر مرجعي 60 $/برميل وسعر سوق مُقدَّر 70 $؛ الجباية البترولية المتوقعة 2697.9 مليار دج؛ نفقات 17636.7 مليار دج,Radio Algérie (نص العرض أمام مجلس الأمة),https://news.radioalgerie.dz/ar/node/75083,2025-11,مسند أولي عن نص رسمي,وكالة رسمية تنقل نص المشروع,أي مقارنة بين «سعر السوق» و«السعر المرجعي»
S26,سوق تقييم النماذج/البيانات: فجوة التغطية اللغوية العربية تُذكر كسبب نمو الطلب على وسوم لغوي أصيل بدل الترجمة؛ «العربية والإسبانية والبرتغالية فئات أساس كبيرة»,Outsource Accelerator,https://www.outsourceaccelerator.com/articles/multilingual-data-annotation/,2026-08-24,مُسند تجاري ثانوي,موقع تسويقي لقطاع التعهيد — حافزه معلَن,أي ادعاء بأن «العربية محرومة» يبرر سعراً أعلى
S27,توقعات أحجام سوق الوسم/بيانات التدريب المستعملة في v1 (3.8→17.1 مليار $ في 2030) مصدرها تقارير تنبؤ تجارية متعددة التعريف؛ حُذفت من السجل لاختلاف الحدود ولا تُستعمل كحجة شراء,— (مُلغاة منهجياً),—,2026-09-11,**مُستبعَدة منهجياً**,الاستشهاد بها كان سيُضخّم الحجة,أي TAM يُستعمل لتبرير التزام
