id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
"S117","arrêté 26-07-2026 بتعيين **21 عوناً** من بنك الجزائر (3 مراقبين + 18 مراقباً مكلَّفاً بالدراسة) لمعاينة مخالفات الصرف — منشورٌ في **الجريدة ن°58 نفسها** (12-08-2026)، سندُه م04 من المرسوم التنفيذي 97-256","algerie-eco.com","https://algerie-eco.com/2026-08-14/banque-dalgerie-21-agents-habilites-a-constater-les-infractions-a-la-reglementation-des-changes-et-des-mouvements-de-capitaux-avec-letranger/","2026-08-14","F لوجود الـarrêté · ⚠️ ثانوي","🆕 **التركيبُ الجديد**: الدولةُ قصّرت الأجلَ **ووظّفت الشرطة في الجريدة نفسها** — فتغيّر حسابُ المخاطرة مادّياً في أوت 2026","قراءةُ الـarrêté من الجريدة ن°58"
"S118","البنوكُ الوسيطة المعتمَدة مُلزَمة بتوطين عمليات تصدير **السلع والخدمات** خلال **48 ساعة** من تسلّم ملفٍّ كامل، والتأخيرُ غير المبرَّر يُعرِّضها لإجراءات رقابة صارمة — سندُها م29 من النظام 07-01","Awras (تعليمة أواخر يوليو 2026)","https://www.awras.net/instruction-stricte-aux-banques-sur-la-domiciliation-des-operations-d.html","2026-07-29","⚠️ ثانوي","🆕 يُسقط حجّةَ «البنك يُماطل» نصّاً — وهو تسهيلٌ لا قيد","طلبُ نصّ التعليمة من بنك الجزائر"
"S119","سقفُ المقاول الذاتي للخدمات **5.000.000 دج/سنة**؛ IFU **0,5%** من المحصَّل (م282sexies CIDTA، LF2024)؛ حدٌّ أدنى 10.000 دج؛ CASNOS جزافية اختيارية **24.000 دج** (م14 من المرسوم 15-289 بمقتضى المرسوم التنفيذي 26-257)؛ الخدمات الرقمية والاستشارة مؤهَّلة، والمهنُ المُقنَّنة والحرفية والمالية والتصدير التجاري مستثناة","upgrowth.dz + comptalegal.dz + zoomalgerie.com + qompta.com","https://www.upgrowth.dz/auto-entrepreneur-guide","2026-08-24","⚠️ ثانوي — أربعةُ مصادر متطابقة على الأرقام","⚠️ **قيودُ الكيان لا شروطُه**: اللوحةُ عاملت ANAE كشرطٍ مُسبَق، وهو في الحقيقة **قناةٌ مسقوفة**","التحقق من anae.dz وactivities.anae.dz مباشرةً، ومن CIDTA المعدَّل بـLF2026"
"S120","IFU العام (خارج ANAE): 5% لإنتاج/بيع السلع و12% للخدمات، وحدٌّ أدنى 30.000 دج (LF2026، م282quater) — مقابل 10.000 دج محفوظة للمقاول الذاتي","upgrowth.dz + comptalegal.dz","https://www.upgrowth.dz/creation-micro-entreprise-algerie","2026-04-24","⚠️ ثانوي","يُسند كلفةَ الانتقال من المرحلة 1 إلى المرحلة 2 في سُلَّم الكيانات","قراءةُ قانون المالية 2026 من الجريدة الرسمية"
"S121","أسعار سبتمبر 2026: رسمي USD/DZD **133,021** (xe، 10-09) و**133,4566** (exchangedz، 02-09)؛ Square Port-Saïd شراء **236,00** / بيع **238,33**؛ فجوةٌ منشورة **76,84%** (EXDZ)؛ 1 DZD = 0,00645963 EUR","xe.com + exchangedz.com (مؤشّر EXDZ) + countryeconomy.com","https://www.exchangedz.com/rates/usd-to-dzd","2026-09-02","F للأسعار السوقية · ⚠️ لقطةٌ زمنية","⛔ **تصحيحٌ للوحة**: الأرقام المستعملة هناك (151 رسمي · 280 موازٍ · 73%) لا تطابق لقطةَ سبتمبر 2026، والفرقُ يُغيّر سقفَ الكيان الدولاري","إعادةُ الالتقاط عند أيّ قرار تسعير؛ والسقفُ دالةٌ في السعر لا ثابت"
"S122","UK AISI تعاقد مع **Rethink Priorities UK** (مؤشَّرة **SME**) بقيمةٍ إجمالية **£5.000.000** على «AISI Research and Evals Partner for Cyber and Autonomous Capabilities of AI Foundation Models» — الإشعار 037042-2025","Find a Tender (بوابة المشتريات الحكومية البريطانية الرسمية)","https://www.find-tender.service.gov.uk/Notice/037042-2025","2025-07-03","F — مصدرٌ رسمي للمشتريات","🆕 **يدحض «لا يوجد مشترٍ مُعرَّف»**: مشترٍ مؤسّسي مُموَّل يشتري بالضبط ما نبنيه، ويُسنده لمكاتب صغيرة. العائقُ **الوصول** لا الوجود","فحصُ أهلية الكيان الجزائري **المباشرة** في مناقصات GPA (غير مُسندة ⇒ المدخلُ من الباطن)"
"S123","UK AISI تعاقد مع **Mila (Québec AI Institute)** بـ**£720.000** لتسليم التقرير الدولي لسلامة الذكاء الاصطناعي 2025/2026 — إسنادٌ مباشر لمؤسسةٍ متخصصة تُجنّد الخبراء","Find a Tender — الإشعار 016458-2025","https://www.find-tender.service.gov.uk/Notice/016458-2025","2025-04-23","F — مصدرٌ رسمي","يُظهر نمطَ الإسناد: المؤسساتُ الكبيرة تنال العقود، ثمّ **تُجنّد متخصصين** — وهو المدخلُ الواقعي لكيانٍ صغير","كما في S122"
"S124","CAISI الأميركي وسّع نظامَ الفحص الطوعي للنماذج (مايكروسوفت · Google DeepMind · xAI)، وأبرمت Microsoft اتفاقاً مماثلاً مع UK AISI","Politico + openai.com","https://www.politico.com/news/2026-05-05/microsoft-xai-google-caisi-safety-testing-00906529","2026-05-05","⚠️ ثانوي — صحافةٌ عن إعلانات الأطراف","يُوسّع فئةَ المشترين المؤسّسيين إلى ما وراء المملكة المتحدة","تتبّعُ ما إذا كان CAISI يُسنِد أعمالاً تقييمية لجهاتٍ خارجية بمناقصات منشورة"
"S125","Interreg NEXT MED 2021-2027: غلاف **253م€**، 15 بلداً، **الجزائر مؤهَّلة** في 14 ولاية (تلمسان · عين تموشنت · وهران · مستغانم · الشلف · تيبازة · بومرداس · تيزي وزو · بجاية · جيجل · سكيكدة · عنابة · الطارف · الجزائر)؛ دعمٌ أوروبي 500أ€–2,5م€ للمشروع بتمويلٍ حتى 89%؛ شراكةٌ ≥3 كيانات في ≥3 بلدان منها شريكٌ متوسطي","enicbcmed.eu (الجهة المُديرة) + aer.eu + oc-cooperation.org","https://www.enicbcmed.eu/european-commission-approves-interreg-next-med-programme-eu253-million-boost-transnational","2022-12-19","F للجهة المُديرة · ⚠️ لتفاصيل النداءات","🆕 **قناةُ عملةٍ صعبة بلا بيع**: منحةٌ أوروبية متعاقَد عليها، مصمَّمة للدخول إلى الجزائر، ولا تحتاج إقناعَ مشترٍ","موعدُ النداء القادم وشروطُه الحالية (⛔ غير مُتحقَّق — النداءات المذكورة أُغلقت 2024 و2025)"
"S126","⛔ **مرجعٌ مرفوضٌ ومُعلَن**: يصف مسارَ LLC الأميركية وحساب Mercury كحلٍّ عملي للمقيم الجزائري، ويقول إنّ التحكم في الصرف «يحدّ من خروج العملة» فقط، بلا أيّ إشارةٍ إلى م126 من الأمر 03-11 أو م08 من النظام 07-01","creer-llc-usa.com (موقعٌ تجاري لخدمات تأسيس الشركات)","https://creer-llc-usa.com/articles/fr/llc-usa-algerie-freelance-resident-2026","2026-05-14","⛔ مرفوض — دليلٌ تجاري يتعارض مع نصٍّ صريح","⚠️ مُدرَج في سجلّ الأدلة **كدحضٍ لا كسند**: يُظهر حجمَ التضليل المتاح، ويُبرّر إدراجَ X1 في جدول السكك كمسارٍ محظور","لا شيء — رُفض لمخالفته النصّ (S114 · S115)"
