id,nom,type,siren,ville,telephone,email,role_cible,canal_1,hook_fr,flag_opposition,statut,date_contact,objection,prochaine_action,date_action,source,verifie_le
18,Cerfrance Adour Océan,reseau AGC,non_verifie,Sud-Ouest,+33 5 58 05 82 00,page_contact_site,service digitalisation,tel,"Vos formations facture electronique ont un public pret : la preparation des donnees reste a faire.",a_verifier,a_contacter,,,,,cerfrance-adourocean.fr,2026-09-21
19,Cerfrance Provence-Alpes-Méditerranée,reseau AGC,non_verifie,PACA,04 94 12 54 12,page_contact_site,service digitalisation,tel,"Vos reunions d'information ont identifie les clients : qui fiabilise leurs donnees ?",a_verifier,a_contacter,,,,,provence-alpes-mediterranee.cerfrance.fr,2026-09-21
20,Cerfrance Dordogne + CEDO,reseau AGC + filiale numerique,non_verifie,Dordogne,05 53 45 63 00,contact@cerfrance-dordogne.fr,service digitalisation (CEDO),mail,"CEDO accompagne la conformite numerique : je peux etre la capacite d'execution sur les donnees.",a_verifier,a_contacter,,,,,cerfrancedordogne.fr,2026-09-21
21,CROEC Occitanie,institution professionnelle,892077629,Toulouse,05 61 14 71 60,cro@oec-occitanie.org,president / commission numerique,mail,"Proposition de 20 minutes en atelier : fiabiliser les referentiels avant la PA.",non_applicable,a_contacter,,,,,oec-occitanie.org + occitanie.cci.fr,2026-09-21
22,CROEC Auvergne-Rhône-Alpes,institution professionnelle,non_verifie,Lyon,04 72 60 26 26,vmr@oecaura.fr,Damien Cartel (president) / commission numerique,mail,"Meme proposition d'atelier operationnel.",non_applicable,a_contacter,,,,,experts-comptables.fr,2026-09-21
23,CCI Occitanie,institution consulaire,non_verifie,Blagnac,05 62 74 20 00,contact.site@occitanie.cci.fr,conseillers entreprises,mail,"Atelier pour vos conseillers : ce qui doit etre propre avant la plateforme agreee.",non_applicable,a_contacter,,,,,occitanie.cci.fr,2026-09-21
24,CJEC / ANECS - La Bourse,plateforme de sous-traitance entre confreres,non_verifie,Paris,01 42 72 73 72,anecs-cjec@anecs-cjec.org,veille des offres,veille_hebdomadaire,"Je ne poste pas (reserve aux adherents) : je reponds aux offres qui publient un contact.",non_applicable,a_surveiller,mardi hebdo,,,labourse.anecs-cjec.org,2026-09-21
25,GI Life Sciences Toulouse,agence de recrutement (canal),non_verifie,Toulouse,05 34 45 03 41,page_contact_site,directeur d'agence,tel,"Vous avez staffe un ADV en interim pour la mise en conformite des donnees clients : si le client prefere la prestation au poste, je suis votre sous-traitant.",a_verifier,a_contacter,,,,,fr.gigroup.com + jobintree,2026-09-21
26,I-Cube Research,PME (signal de recrutement ADV),non_verifie,Toulouse,non_verifie,page_contact_site,DAF / resp. ADV,formulaire,"Qui, chez vous, controle les SIREN et les contacts de facturation avant la plateforme agreee ?",a_verifier,a_contacter,,,,,offre Indeed (ADV),2026-09-21
27,EXAIL,PME/ETI (signal de recrutement ADV),non_verifie,Toulouse,non_verifie,page_contact_site,resp. ADV / DAF,mail,"Vos offres ADV mentionnent facturation et impayes : la qualite du referentiel clients en est la cause racine.",a_verifier,a_contacter,,,,,offre Indeed,2026-09-21
28,3000 Distribution,PME (signal de recrutement ADV),non_verifie,Toulouse,non_verifie,page_contact_site,dirigeant,formulaire,"Secretaire ADV : le poste absorbe la saisie ; la donnee, elle, reste fausse.",a_verifier,a_contacter,,,,,offre Indeed,2026-09-21
29,expert-comptable-pennylane.fr,cabinet digital Pennylane Gold,non_verifie,Paris / a distance,09 73 03 73 08,formulaire_contact,associe,formulaire,"250 clients, 100% digital : la fiabilisation des referentiels est le prochain poste a industrialiser.",a_verifier,a_contacter,,,,,expert-comptable-pennylane.fr,2026-09-21
30,Moncomptable en ligne,cabinet 100% a distance,non_verifie,Toulouse,non_verifie,page_contact_site,associe,formulaire,"Vous prouvez que le cabinet a distance fonctionne : reste a fiabiliser les donnees a la meme distance.",a_verifier,a_contacter,,,,,annuaire specialise,2026-09-21
X1,FQM Conseil,cabinet expertise comptable,933728727,Toulouse,05 32 00 21 78,hannae.abdou@fqm-conseil.fr,-,aucune,-,OUI,exclu,,,,,pappers.fr (flag prospection),2026-09-21
X2,FITECO (dont Toulouse et Lyon),reseau expertise comptable,557150067,Toulouse / Lyon,05 61 34 73 00,toulouse@fiteco.com,-,aucune,-,OUI,exclu,,,,,pappers.fr (flag prospection),2026-09-21
X3,Esker,plateforme agreee / editeur,331518498,Villeurbanne,04 72 83 46 46,info@esker.fr,-,aucune,-,OUI,exclu,,,,,pappers.fr (flag prospection),2026-09-21
X4,Yooz,plateforme agreee / editeur,808386148,Aimargues,01 73 60 96 69,contact@fr.getyooz.com,-,aucune,-,OUI,exclu,,,,,pappers.fr (flag prospection),2026-09-21
