harness,env,effort,score_pct,provenance,source_note
standard,M0R0,low,20.4,v04-anchor+column,free cell; v0.4 quoted value consistent with column residual 74.05
standard,M0R0,none,71.4,direct,chunk-seam tail cell observed directly (=cap(6,5))
standard,VC33,max,73.4,recon-column,column-sum residual; free cell (not a cap value); ordering KA59>=VC33>=M0R0>=TN36 satisfied
standard,VC33,xhigh,35.7,recon-column,cap(7,4)=35.71
standard,VC33,high,53.6,recon-column,cap(7,5)=53.57
standard,VC33,medium,37.8,recon-free,column residual 1359.75-1250.5-71.43; free (efficiency-limited) cell
standard,VC33,low,53.6,recon-column,cap(7,5)=53.57 (residual 53.65)
standard,VC33,none,35.7,recon-column,cap(7,4)=35.71 (residual 35.65)
standard,TN36,max,53.6,direct,
standard,TN36,xhigh,53.6,direct,
standard,TN36,high,53.6,direct,
standard,TN36,medium,3.6,direct,
standard,TN36,low,53.6,direct,
standard,TN36,none,42.3,direct,
standard,SC25,max,47.6,direct,
standard,SC25,xhigh,47.6,direct,
standard,SC25,high,47.6,direct,
standard,SC25,medium,38.3,direct,
standard,SC25,low,10.8,direct,
standard,SC25,none,0.0,direct,
standard,SU15,max,27.4,direct,
standard,SU15,xhigh,22.2,direct,
standard,SU15,high,41.6,direct,
standard,SU15,medium,32.9,direct,
standard,SU15,low,13.3,direct,
standard,SU15,none,7.7,direct,
standard,SK48,max,19.7,direct,
standard,SK48,xhigh,12.1,direct,
standard,SK48,high,19.4,direct,
standard,SK48,medium,10.3,direct,
standard,SK48,low,21.1,direct,
standard,SK48,none,11.1,direct,
standard,LF52,max,10.9,direct,
standard,LF52,xhigh,7.4,direct,
standard,LF52,high,10.9,direct,
standard,LF52,medium,2.9,direct,
standard,LF52,low,2.2,direct,
standard,LF52,none,5.5,direct,
standard,TU93,max,3.1,direct,
standard,TU93,xhigh,6.7,direct,
standard,TU93,high,2.2,direct,
standard,TU93,medium,2.7,direct,
standard,TU93,low,2.2,direct,
standard,TU93,none,2.2,direct,
standard,BP35,max,2.2,direct,
standard,BP35,xhigh,2.2,direct,
standard,BP35,high,2.2,direct,
standard,BP35,medium,2.2,direct,
standard,BP35,low,0.4,direct,
standard,BP35,none,1.9,direct,
standard,G50T,max,0.0,direct,
standard,G50T,xhigh,0.0,direct,
standard,G50T,high,0.0,direct,
standard,G50T,medium,0.0,direct,
standard,G50T,low,0.0,direct,
standard,G50T,none,3.0,direct,
adapter,AR25,max,100.0,direct,
adapter,AR25,xhigh,100.0,direct,
adapter,AR25,high,100.0,direct,
adapter,AR25,medium,100.0,direct,
adapter,AR25,low,100.0,direct,
adapter,AR25,none,100.0,direct,
adapter,BP35,max,100.0,direct,
adapter,BP35,xhigh,100.0,direct,value visible in chunk; URL truncated
adapter,BP35,high,100.0,infer-saturation,required by 147/150 saturation count (3 exceptions already observed: TN36x2 SK48x1)
adapter,BP35,medium,100.0,infer-saturation,
adapter,BP35,low,100.0,infer-saturation,
adapter,BP35,none,100.0,infer-saturation,
adapter,CD82,max,100.0,direct,
adapter,CD82,xhigh,100.0,direct,
adapter,CD82,high,100.0,direct,
adapter,CD82,medium,100.0,direct,
adapter,CD82,low,100.0,direct,
adapter,CD82,none,100.0,direct,
adapter,CN04,max,100.0,direct,
adapter,CN04,xhigh,100.0,direct,
adapter,CN04,high,100.0,direct,
adapter,CN04,medium,100.0,direct,
adapter,CN04,low,100.0,direct,
adapter,CN04,none,100.0,direct,
adapter,DC22,max,100.0,direct,
adapter,DC22,xhigh,100.0,direct,
adapter,DC22,high,100.0,direct,
adapter,DC22,medium,100.0,direct,
adapter,DC22,low,100.0,direct,
adapter,DC22,none,100.0,direct,
adapter,FT09,max,100.0,direct,
adapter,FT09,xhigh,100.0,direct,
adapter,FT09,high,100.0,direct,
adapter,FT09,medium,100.0,direct,
adapter,FT09,low,100.0,direct,
adapter,FT09,none,100.0,direct,
adapter,G50T,max,100.0,direct,
adapter,G50T,xhigh,100.0,direct,
adapter,G50T,high,100.0,direct,
adapter,G50T,medium,100.0,direct,
adapter,G50T,low,100.0,direct,
adapter,G50T,none,100.0,direct,
adapter,KA59,max,100.0,infer-saturation,row lost in chunk seam G50T->LS20; required by 147/150 count
adapter,KA59,xhigh,100.0,infer-saturation,
adapter,KA59,high,100.0,infer-saturation,
adapter,KA59,medium,100.0,infer-saturation,
adapter,KA59,low,100.0,infer-saturation,
adapter,KA59,none,100.0,infer-saturation,
adapter,LF52,max,100.0,infer-saturation,row lost in chunk seam; required by 147/150 count
adapter,LF52,xhigh,100.0,infer-saturation,
adapter,LF52,high,100.0,infer-saturation,
adapter,LF52,medium,100.0,infer-saturation,
adapter,LF52,low,100.0,infer-saturation,
adapter,LF52,none,100.0,infer-saturation,
adapter,LP85,max,100.0,infer-saturation,row lost in chunk seam; required by 147/150 count
adapter,LP85,xhigh,100.0,infer-saturation,
adapter,LP85,high,100.0,infer-saturation,
adapter,LP85,medium,100.0,infer-saturation,
adapter,LP85,low,100.0,infer-saturation,
adapter,LP85,none,100.0,infer-saturation,
adapter,LS20,max,100.0,direct,
adapter,LS20,xhigh,100.0,direct,
adapter,LS20,high,100.0,direct,
adapter,LS20,medium,100.0,direct,
adapter,LS20,low,100.0,direct,
adapter,LS20,none,100.0,direct,
adapter,M0R0,max,100.0,direct,
adapter,M0R0,xhigh,100.0,direct,
adapter,M0R0,high,100.0,direct,
adapter,M0R0,medium,100.0,direct,
adapter,M0R0,low,100.0,direct,
adapter,M0R0,none,100.0,direct,
adapter,R11L,max,100.0,direct,
adapter,R11L,xhigh,100.0,direct,
adapter,R11L,high,100.0,direct,
adapter,R11L,medium,100.0,direct,
adapter,R11L,low,100.0,direct,
adapter,R11L,none,100.0,direct,
adapter,RE86,max,100.0,direct,
adapter,RE86,xhigh,100.0,direct,
adapter,RE86,high,100.0,direct,
adapter,RE86,medium,100.0,direct,
adapter,RE86,low,100.0,direct,
adapter,RE86,none,100.0,direct,
adapter,S5I5,max,100.0,direct,
adapter,S5I5,xhigh,100.0,direct,
adapter,S5I5,high,100.0,direct,
adapter,S5I5,medium,100.0,direct,
adapter,S5I5,low,100.0,direct,
adapter,S5I5,none,100.0,direct,
adapter,SB26,max,100.0,direct,
adapter,SB26,xhigh,100.0,direct,
adapter,SB26,high,100.0,direct,
adapter,SB26,medium,100.0,direct,
adapter,SB26,low,100.0,direct,
adapter,SB26,none,100.0,direct,
adapter,SC25,max,100.0,direct,
adapter,SC25,xhigh,100.0,direct,
adapter,SC25,high,100.0,direct,
adapter,SC25,medium,100.0,direct,
adapter,SC25,low,100.0,direct,
adapter,SC25,none,100.0,direct,
adapter,SK48,max,100.0,direct,
adapter,SK48,xhigh,100.0,direct,
adapter,SK48,high,100.0,direct,
adapter,SK48,medium,100.0,direct,
adapter,SK48,low,100.0,direct,
adapter,SK48,none,27.8,direct,one of exactly 3 non-100 adapter public cells
adapter,SP80,max,100.0,direct,
adapter,SP80,xhigh,100.0,direct,
adapter,SP80,high,100.0,direct,
adapter,SP80,medium,100.0,direct,
adapter,SP80,low,100.0,direct,
adapter,SP80,none,100.0,direct,
adapter,SU15,max,100.0,direct,
adapter,SU15,xhigh,100.0,direct,
adapter,SU15,high,100.0,direct,
adapter,SU15,medium,100.0,direct,
adapter,SU15,low,100.0,direct,
adapter,SU15,none,100.0,direct,
adapter,TN36,max,100.0,direct,
adapter,TN36,xhigh,100.0,direct,
adapter,TN36,high,91.8,direct,one of exactly 3 non-100 adapter public cells
adapter,TN36,medium,100.0,direct,
adapter,TN36,low,88.8,direct,one of exactly 3 non-100 adapter public cells
adapter,TN36,none,100.0,direct,
adapter,TR87,max,100.0,direct,
adapter,TR87,xhigh,100.0,direct,
adapter,TR87,high,100.0,direct,
adapter,TR87,medium,100.0,direct,
adapter,TR87,low,100.0,direct,
adapter,TR87,none,100.0,direct,
adapter,TU93,max,100.0,direct,
adapter,TU93,xhigh,100.0,direct,
adapter,TU93,high,100.0,direct,
adapter,TU93,medium,100.0,direct,
adapter,TU93,low,100.0,direct,
adapter,TU93,none,100.0,direct,
adapter,VC33,max,100.0,direct,
adapter,VC33,xhigh,100.0,direct,
adapter,VC33,high,100.0,direct,
adapter,VC33,medium,100.0,direct,
adapter,VC33,low,100.0,direct,
adapter,VC33,none,100.0,direct,
adapter,WA30,max,100.0,direct,
adapter,WA30,xhigh,100.0,direct,
adapter,WA30,high,100.0,direct,
adapter,WA30,medium,100.0,direct,
adapter,WA30,low,100.0,direct,
adapter,WA30,none,100.0,direct,
